"acceptedName","specimenCount","propContemporary","logSpecimenCount","yearPublished","Threatened"
"Amanita nehuta",210,0.847619047619048,5.34710753071747,1991,NA
"Amanita nivalis",551,0.562613430127042,6.31173480915291,1822,NA
"Amanita novinupta",413,0.99273607748184,6.02344759296103,1994,"0"
"Amanita ocreata",421,0.821852731591449,6.04263283368238,1909,"0"
"Amanita pachycolea",403,0.853598014888337,5.99893656194668,1982,NA
"Amanita pachysperma",5,0.8,1.6094379124341,1918,NA
"Amanita pantherina",10848,0.810379793510325,9.29173601018018,1783,NA
"Amanita pantherinoides",216,0.865740740740741,5.37527840768417,1912,NA
"Amanita parcivolvata",1096,0.878649635036496,6.99942246750796,1900,NA
"Amanita parva",3,0.333333333333333,1.09861228866811,1945,NA
"Amanita parviformis",1,0,0,1945,NA
"Amanita peckiana",97,0.350515463917526,4.57471097850338,1913,NA
"Amanita pelioma",35,0.628571428571429,3.55534806148941,1969,NA
"Amanita persicina",15,0.533333333333333,2.70805020110221,1977,NA
"Amanita phalloides",10305,0.784764677341097,9.24038449332456,1723,NA
"Amanita ponderosa",88,0.602272727272727,4.47733681447821,1944,NA
"Amanita populiphila",50,0.74,3.91202300542815,1995,NA
"Amanita porphyria",8597,0.744678376177736,9.05916858417444,1803,"0"
"Amanita praegraveolens",21,0.333333333333333,3.04452243772342,1939,NA
"Amanita praelongispora",16,0.125,2.77258872223978,1912,NA
"Amanita prairiicola",20,0.5,2.99573227355399,1897,NA
"Amanita protecta",71,0.943661971830986,4.26267987704132,1989,NA
"Amanita pruittii",12,0.916666666666667,2.484906649788,2014,NA
"Amanita pseudoporphyria",227,0.674008810572687,5.4249500174814,1957,NA
"Amanita pseudoverna",7,0,1.94591014905531,1945,NA
"Amanita radiata",10,0.1,2.30258509299405,1984,NA
"Amanita regalis",4715,0.831177094379639,8.45850419506756,1797,NA
"Amanita rhacopus",155,0.993548387096774,5.04342511691925,2018,NA
"Amanita rhoadsii",26,0.346153846153846,3.25809653802148,1939,NA
"Amanita rhopalopus",144,0.534722222222222,4.969813299576,1894,NA
"Amanita ristichii",4,0.5,1.38629436111989,1989,"1"
"Amanita roanokensis",44,0.227272727272727,3.78418963391826,1927,NA
"Amanita roseotincta",114,0.842105263157895,4.7361984483945,1914,NA
"Amanita rubescens",29055,0.845258991567716,10.2769458645092,1787,NA
"Amanita russuloides",158,0.379746835443038,5.06259503302697,1873,NA
"Amanita salmonea",9,0,2.19722457733622,1957,NA
"Amanita salmonescens",3,1,1.09861228866811,1990,NA
"Amanita silvicola",253,0.422924901185771,5.53338948872752,1926,"0"
"Amanita silvifuga",3,0,1.09861228866811,1969,NA
"Amanita sinicoflava",114,0.885964912280702,4.7361984483945,1988,NA
"Amanita smithiana",208,0.605769230769231,5.33753807970132,1969,"0"
"Amanita solaniolens",96,0.916666666666667,4.56434819146784,1974,NA
"Amanita solitariiformis",14,0.142857142857143,2.63905732961526,1941,NA
"Amanita spreta",389,0.431876606683805,5.96357934361845,1880,NA
"Amanita stranella",7,1,1.94591014905531,1940,NA
"Amanita strobiliformis",1218,0.707717569786535,7.10496544826984,1812,NA
"Amanita suballiacea",50,0.76,3.91202300542815,1941,NA
"Amanita subcaligata",6,0.333333333333333,1.79175946922805,1944,NA
"Amanita subcitriniceps",7,0,1.94591014905531,1945,NA
"Amanita submaculata",109,0.926605504587156,4.69134788222914,1900,NA
"Amanita submembranacea",2080,0.830769230769231,7.64012317269536,1975,NA
